x,y
146,0
147,0
148,0
148,0
149,0
149,0
150,0
150,0
150,0
151,0
151,0
151,0
152,0
152,0
152,0
152,0
153,0
153,0
153,0
153,0
153,0
153,0
154,0
154,0
154,0
154,0
154,0
154,0
155,0
155,0
155,0
155,0
155,0
155,0
155,0
156,0
156,0
156,0
156,0
156,0
156,0
156,0
156,0
157,1
157,0
157,0
157,0
157,0
157,0
157,0
157,0
158,1
158,0
158,0
158,0
158,0
158,0
158,0
158,0
158,0
159,1
159,0
159,0
159,0
159,0
159,0
159,0
159,0
160,1
160,1
160,0
160,0
160,0
160,0
160,0
160,0
160,0
161,1
161,1
161,0
161,0
161,0
161,0
161,0
161,0
162,1
162,1
162,1
162,0
162,0
162,0
162,0
162,0
163,1
163,1
163,1
163,1
163,0
163,0
163,0
163,0
164,1
164,1
164,1
164,1
164,0
164,0
164,0
164,0
165,1
165,1
165,1
165,1
165,1
165,0
165,0
165,0
166,1
166,1
166,1
166,1
166,1
166,1
166,0
166,0
167,1
167,1
167,1
167,1
167,1
167,1
167,0
168,1
168,1
168,1
168,1
168,1
168,1
168,1
168,0
169,1
169,1
169,1
169,1
169,1
169,1
169,1
169,0
170,1
170,1
170,1
170,1
170,1
170,1
170,1
170,0
171,1
171,1
171,1
171,1
171,1
171,1
171,1
172,1
172,1
172,1
172,1
172,1
172,1
173,1
173,1
173,1
173,1
173,1
173,1
174,1
174,1
174,1
174,1
174,1
175,1
175,1
175,1
175,1
176,1
176,1
176,1
176,1
177,1
177,1
177,1
178,1
178,1
179,1
179,1
180,1
180,1
181,1
182,1
183,1
